"identifier","title","author","recipient","date created","creator","description","imageurl1","imageurl2","imageurl3","archive","archive location","publisher","rights","tags","provenance","bibcite"
"10Mar2008-000000 DSCN5285.JPG","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, March 7, 1928","Blanche M. Haines","Ionia R. Whipper, Austin, Texas","March 7, 1928","Blanche M. Haines","Haines offers to help IRW “when you come north in getting Pullman accommodations.”","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5285.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, March 7, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5286 whipper texas.JPG","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, February 23, 1928","Ionia R. Whipper, Austin, Texas","Blanche M. Haines","February 23, 1928","Ionia R. Whipper, Austin, Texas",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5286%20whipper%20texas.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, February 23, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5287.JPG","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, March 5, 1928","Blanche M. Haines","Ionia R. Whipper, Austin, Texas","March 5, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5287.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, March 5, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5288.JPG","Report for weeks ending February 18 and 25, 1928.","Ionia R. Whipper, Austin, Texas",,"February 26, 1928","Ionia R. Whipper, Austin, Texas","IRW mentions that “The State has rented a car for me so the midwives can be reached more easily now.”","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5288.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Report for weeks ending February 18 and 25, 1928., File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5290.JPG","Blanche M. Haines to Ionia R. Whipper, Atlanta, Georgia, February 25, 1928","Blanche M. Haines","Ionia R. Whipper, Atlanta, Georgia","February 25, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5290.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5289%20whipper%20auto.JPG",,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Atlanta, Georgia, February 25, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5291.JPG","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, February 20, 1928","Ionia R. Whipper, Austin, Texas","Blanche M. Haines","February 20, 1928","Ionia R. Whipper, Austin, Texas",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5291.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, February 20, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5293 haines whipper texas.JPG","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, February 23, 1928","Blanche M. Haines","Ionia R. Whipper, Austin, Texas","February 23, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5293%20haines%20whipper%20texas.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5292.JPG",,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, February 23, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5294.JPG","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, February 18, 1928","Ionia R. Whipper, Austin, Texas","Blanche M. Haines","February 18, 1928","Ionia R. Whipper, Austin, Texas",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5294.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, February 18, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5295.JPG","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, February 14, 1928","Blanche M. Haines","Ionia R. Whipper, Austin, Texas","February 14, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5295.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, February 14, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5297.JPG","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, February 10, 1928","Ionia R. Whipper, Austin, Texas","Blanche M. Haines","February 10, 1928","Ionia R. Whipper, Austin, Texas",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5297.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, February 10, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5298.JPG","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, February 1, 1928","Blanche M. Haines","Ionia R. Whipper, Austin, Texas","February 1, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5298.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, February 1, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5300.JPG","Blanche M. Haines to Ionia R. Whipper, Atlanta, Georgia, January 31, 1928","Blanche M. Haines","Ionia R. Whipper, Atlanta, Georgia","January 31, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5300.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Atlanta, Georgia, January 31, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5301 Whipper on travel ATL-TX with 'least discomfort'.JPG","Ionia R. Whipper, Douglas, Georgia to Blanche M. Haines, November 11, 1927","Ionia R. Whipper, Douglas, Georgia","Blanche M. Haines","November 11, 1927","Ionia R. Whipper, Douglas, Georgia",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5301%20Whipper%20on%20travel%20ATL-TX%20with%20'least%20discomfort'.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Douglas, Georgia to Blanche M. Haines, November 11, 1927, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5302.JPG","Blanche M. Haines to Ionia R. Whipper, Douglas, Georgia, November 7, 1927","Blanche M. Haines","Ionia R. Whipper, Douglas, Georgia","November 7, 1927","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5302.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Douglas, Georgia, November 7, 1927, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
